"Estacion","Fecha inicial","Fecha final","CO"
"NOBSA-NAZARETH","2020-09-26","","1080.84"
"NOBSA-NAZARETH","2020-09-25","","688.19818182"
"NOBSA-NAZARETH","2020-09-24","","661.84"
"NOBSA-NAZARETH","2020-09-23","","559.89913043"
"NOBSA-NAZARETH","2020-09-22","","327.10916667"
"NOBSA-NAZARETH","2020-09-21","","489.47"
"NOBSA-NAZARETH","2020-09-20","","246.65291667"
"NOBSA-NAZARETH","2020-09-19","","303.55875"
"NOBSA-NAZARETH","2020-09-18","","641.10347826"
"NOBSA-NAZARETH","2020-09-17","","523.52"
"NOBSA-NAZARETH","2020-09-16","","313.01125"
"NOBSA-NAZARETH","2020-09-15","","369.34695652"
"NOBSA-NAZARETH","2020-09-14","","554.9175"
"NOBSA-NAZARETH","2020-09-13","","616.72333333"
"NOBSA-NAZARETH","2020-09-12","","181.92625"
"NOBSA-NAZARETH","2020-09-11","","249.70708333"
"NOBSA-NAZARETH","2020-09-10","","374.3025"
"NOBSA-NAZARETH","2020-09-09","","386.12875"
"NOBSA-NAZARETH","2020-09-08","","294.89541667"
"NOBSA-NAZARETH","2020-09-07","","798.01869565"
"NOBSA-NAZARETH","2020-09-06","","707.42916667"
"NOBSA-NAZARETH","2020-09-05","","600.55695652"
"NOBSA-NAZARETH","2020-09-04","","933.48826087"
"NOBSA-NAZARETH","2020-09-03","","544.83083333"
"NOBSA-NAZARETH","2020-09-02","","696.60375"
"NOBSA-NAZARETH","2020-09-01","","709.62090909"
"NOBSA-NAZARETH","2020-08-31","","591.99913043"
"NOBSA-NAZARETH","2020-08-30","","826.725"
"NOBSA-NAZARETH","2020-08-29","","382.74826087"
"NOBSA-NAZARETH","2020-08-28","","655.51541667"
"NOBSA-NAZARETH","2020-08-27","","557.94166667"
"NOBSA-NAZARETH","2020-08-26","","508.93333333"
"NOBSA-NAZARETH","2020-08-25","","420.77045455"
"NOBSA-NAZARETH","2020-08-24","","449.0825"
"NOBSA-NAZARETH","2020-08-23","","733.80083333"
"NOBSA-NAZARETH","2020-08-22","","370.66375"
"NOBSA-NAZARETH","2020-08-21","","496.18291667"
