Estacion,Fecha final,CO,gain,test
NOBSA-NAZARETH,0.0,575.6937401187255,1449.0250193187255,580.6937401187255
SOGAMOSO-MOVIL KOICA,0.0,470.64015807453876,1114.9754826636163,475.64015807453876
SOGAMOSO-RECREO,0.0,726.1353688432026,1784.8215155247713,731.1353688432026
